city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop
Fairfax,1997,104.2963439,1.835799232,8.146359094,51.28764106,43.02654451,871555
Mineola,2000,140.2894646,1.823187296,8.156364219,67.64984441,62.66006865,1042131
Mineola,2003,169.8996643,1.233908176,8.162777167,73.4649945,87.03798444,1053563
Mineola,1988,192.8081878,2.00344975,8.204603737,98.45524484,84.14488949,1048192
Hauppauge,2014,117.4845485,2.161834966,8.274609696,42.26760088,64.78050293,1341453
Hauppauge,2004,172.9155405,2.134759759,8.310314778,64.42399988,98.0464661,1311623
Mineola,1991,225.6073741,2.663488894,8.38505763,116.5029772,98.0558504,1013708
Hauppauge,2003,184.0741019,2.376633552,8.586547027,73.44564332,99.665278,1304366
Fairfax,1985,136.5513788,0.614404404,8.755262758,78.49016262,48.69154902,651037
Mineola,2002,169.8888053,1.524520967,8.76599556,71.36663776,88.23165096,1049510
Mineola,2001,168.5056668,1.248190124,8.92936012,72.29901259,86.02910395,1041508
Hauppauge,1991,270.9228456,3.432582407,9.209367434,140.9033217,117.377574,1194436
Fairfax,2011,86.99739576,1.042452455,9.476840497,39.9922669,36.48583591,1055204
Mineola,2014,125.2385328,0.565410983,9.706221877,51.82934012,63.13755978,1061175
Hauppauge,1999,158.1020629,1.700022181,9.714412464,66.46277194,80.22485627,1235278
Fairfax,1984,138.6284725,2.555363548,9.742323528,70.91133847,55.41944696,626134
Miami,2008,1334.689297,14.72857343,9.819048955,564.5953149,745.5463599,427740
Hauppauge,1982,178.0153978,2.309666382,9.837467921,85.71428571,80.15397776,1.17E+06
Fairfax,1987,139.7997604,2.028183052,9.851174825,76.63634533,51.28405718,690273
New York City,2009,551.8094653,5.606537485,9.903692542,221.3689546,314.9302807,8400907
Fairfax,2009,71.45419938,1.317595166,9.932640481,33.04123262,27.16273111,986646
Fairfax,1995,104.7231666,1.751223522,10.15709642,52.18646094,40.6283857,856544
Fresno,2011,582.4408568,6.993286445,10.19021739,203.8043478,361.4530051,500480
Fresno,2014,464.1582893,9.15845491,10.32761937,152.1862401,292.4859749,513187
Rockville,2012,183.133366,1.42833823,10.40646425,84.57802808,86.72053542,980160
Fresno,2013,501.4974178,7.860461095,10.41511095,177.4499092,305.7719366,508876
Fairfax,1986,146.3748685,2.125776098,10.47703934,75.16136918,58.61068385,658583
Hauppauge,1989,238.0480063,2.427353089,10.63013249,107.6405542,117.3499666,1194717
New York City,2007,613.7688201,6.033919386,10.64451505,265.0423421,332.0480436,8220196
New York City,2008,580.3422977,6.267169558,10.66497305,265.8574069,297.5527482,8345075
Fresno,2012,543.0711981,10.07883228,10.67170477,200.5885248,321.7321363,506011
Hauppauge,1976,153.755717,2.888228938,10.70343665,83.16400383,57.00004757,1177192
Fairfax,2012,79.98336943,1.491531365,10.72038168,31.97470363,35.79675275,1072723
Hauppauge,1998,184.5519589,2.461786913,10.74980285,69.99680788,101.3435612,1218627
Hauppauge,1990,253.1147739,2.689134384,10.75653754,119.2463029,120.4227992,1189974
Fairfax,1988,137.9113563,3.216999183,10.76995379,76.64850228,47.27590104,714952
Hauppauge,1988,249.5726153,2.592744998,10.8728016,92.8369983,143.2700704,1195644
Hauppauge,2001,215.3441972,2.199794791,10.99897395,75.42153568,126.7238928,1272846
Hauppauge,2002,194.6000058,1.32540068,11.14895866,70.71402453,111.4116219,1282631
Hauppauge,1986,217.8868751,2.518923412,11.41911947,99.74936712,104.1994651,1190985
Fairfax,1983,133.9105767,2.192490551,11.46841211,61.38973543,58.85993864,592933
Miami,2010,1221.408061,17.02310887,11.51563247,464.6307362,728.2385839,399457
Rockville,2011,168.1657462,1.559014952,11.64064497,87.30483731,67.66124892,962146
Hauppauge,1977,178.9843297,2.62954451,11.65764733,89.22921038,75.46792745,1140882
Baltimore,2014,485.4796464,3.016150885,11.70266543,182.4168055,288.3440246,828871
Rockville,2014,163.301545,1.684542637,11.79179846,61.43626087,88.38894306,1009176
Fairfax,2015,88.40882273,1.270763366,11.79994554,40.21058364,35.12753018,1101700
Fairfax,1993,109.9873275,2.032374531,11.9551443,54.99366377,41.00614494,836460
Virginia Beach,2010,189.7286264,3.196390818,12.10062238,97.94654721,76.48506601,437994
Fairfax,2010,93.11942398,2.205712412,12.17936853,36.72990668,42.00443636,1042747
Hauppauge,1985,220.2680067,2.680067002,12.2278057,98.91122278,106.4489112,1.19E+06
Tampa,2012,616.3793841,6.55722749,12.25916444,163.3604936,434.2024986,350758
Hauppauge,1978,218.0613199,1.815016932,12.27297163,95.50446235,108.468869,1157014
Fairfax,1994,108.0156623,2.250326297,12.31757552,50.6915608,42.75619965,844322
Fairfax,1996,109.153878,1.62052417,12.38543473,56.37109077,38.77682836,863918
Rockville,2010,178.2587301,1.678716705,12.48545549,95.58193239,68.51262552,953109
Fairfax,1991,119.2280918,2.499540709,12.49770355,59.61404592,44.61680166,800147
New York City,2010,593.127965,6.556468256,12.6725767,239.8493089,334.0496112,8175133
Virginia Beach,2012,167.7882338,4.691814794,12.73492587,73.05825893,77.30323422,447588
Hauppauge,1983,193.1546802,2.223117169,12.91118048,84.0509299,93.96945266,1169529
New York City,2006,637.9178643,7.299447973,13.11696104,287.9485257,329.5529296,8165001
Rockville,2009,215.3508163,1.377058835,13.13502274,105.0801819,95.75855286,944041
San Francisco,2012,704.2004576,8.41091078,13.16490383,424.6900457,257.9345972,820363
New York City,2013,623.9067875,3.989935358,13.24420334,228.3195845,378.3530643,8396126
New York City,2011,623.5969252,6.271405739,13.29781566,240.7854479,363.2422559,8211875
Fairfax,1990,128.6197313,3.428166578,13.33175892,62.21487494,49.64493082,787593
Raleigh,1975,480.8590103,11.33786848,13.3386688,147.3922902,308.7901827,149940
Rockville,2013,169.1937072,0.802341232,13.43921563,76.0218317,78.93031867,997082
Fairfax,1998,99.83863552,1.690270353,13.52216282,43.15823635,41.467966,887432
Upper Marlboro,1987,211.2494575,3.390842014,13.73291016,88.33143446,105.7942708,589824
Fairfax,1989,140.9643469,3.769820166,13.73291632,71.08803742,52.37357302,742741
Miami,2007,1491.522284,19.01270439,13.89389936,618.4003978,840.2152823,410252
Tampa,2010,646.393156,8.042679821,14.00022043,203.7478888,420.6023669,335709
New York City,2012,639.2851607,5.054638958,14.01787702,243.6963284,376.5163163,8289415
Fresno,2010,613.3443846,9.097065691,14.15099107,206.4023127,383.6940151,494665
Rockville,2007,225.884449,2.084412108,14.15206115,120.2376669,89.41030884,911528
Rockville,2008,226.1666221,2.275754223,14.19637158,119.2061736,90.48832267,922771
Fairfax,2014,87.95497867,0.907688118,14.43224108,36.30752473,36.30752473,1101700
Hauppauge,1980,256.0148829,3.710360621,14.58258012,116.3154911,121.406451,1158917
Virginia Beach,2011,176.88493,3.384277998,14.66520466,93.40607275,65.42937463,443226
Rockville,1999,188.0413884,1.448329051,14.72467868,78.93393326,92.93444742,828541
Rockville,2003,234.798595,2.331333567,14.87612848,111.4599477,106.1311852,900772
Mesa,1976,308.6450384,4.96213888,14.88641664,88.32607207,200.4704108,100763
Los Angeles,2012,507.785171,6.977626937,14.97863916,138.6221885,347.2067164,1074864
Pittsburgh,2012,751.9736505,13.13631004,15.05869688,363.3311119,360.4475317,312112
Baltimore,2013,508.4988831,2.430682998,15.07023459,183.5165663,307.4813992,822814
Virginia Beach,2009,205.4221356,4.356049751,15.13154124,102.7110678,83.22347682,436175
Hauppauge,1979,259.2955704,2.230130608,15.26781724,95.29519638,146.5024261,1165851
Seattle,2007,626.7111933,4.101736744,15.38151279,260.1184718,347.1094719,585118
Rockville,2004,212.7135384,1.979753719,15.39808448,86.77920467,108.5564956,909204
Los Angeles,2011,522.9685546,8.225421413,15.42266515,138.7105156,360.6099524,1069854
Rockville,2006,236.415178,1.645581285,15.46846408,127.9165186,91.38461403,911532
Miami,2009,1188.67857,14.07425961,15.50554025,499.5169428,659.5818275,419205
Fairfax,1982,164.669102,1.704649089,15.51230671,88.81221756,58.63992868,586631
Rockville,2002,220.1397241,3.627431087,15.64329656,99.41428324,101.4547132,882167
Baltimore,2010,534.7633439,2.48438255,15.65161007,165.8325352,350.7948161,805029
Rockville,2001,208.5736189,2.071923366,15.6545321,94.15740632,96.6897571,868758
Miami,2012,1172.021133,16.65351281,15.68809177,505.8806209,633.7989076,414327
Fairfax,2013,92.09866746,1.099685582,15.76216,37.48095024,37.75587163,1091221
Seattle,2010,577.4981106,3.121611409,15.77235238,234.778037,323.8261098,608660
Miami,2005,1579.726754,13.90695219,15.9672414,519.9654902,1029.88707,388295
Fairfax,1976,135.0444044,3.242591632,16.02221747,64.27961058,51.49998474,524272
Los Angeles,2013,500.1926348,6.765709131,16.06855919,127.5148235,349.843543,1064190
San Francisco,2011,659.6285017,6.137220895,16.07951874,379.0347624,258.3769997,814701
Sacramento,2014,614.789329,5.79989933,16.15686242,207.1392618,385.6933055,482767
Newark,2013,1263.630025,40.25215097,16.17273923,874.4061011,332.7990339,278246
Seattle,2011,592.6798219,3.235151866,16.17575933,229.3722673,343.8966434,618209
Hauppauge,1987,236.3397789,3.020316663,16.27615091,104.9560041,112.0873073,1191928
Rockville,2005,228.2145151,2.085654539,16.46569373,113.6132867,96.04988007,910985
San Francisco,2010,713.7046949,5.960992754,16.51691742,394.9157699,296.3110148,805235
