city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop,lon,lat
Portland,1996,1674.48162665151,10.8996251383825,85.9146922672503,439.618213914761,1138.04909533111,467906,-122.67621,45.52345
Upper Marlboro,1996,1134.01805862068,20.4858880166867,45.9380519162065,537.909756559364,529.684362128422,644346,-76.74969,38.81595
Raleigh,1996,860.198388096714,10.1967566156557,36.7083238163605,298.561033706399,514.732273958299,245176,-78.63861,35.7721
Sacramento,1996,977.370459524946,11.3371809440444,40.6029271019265,494.090164863703,431.340186615271,379283,-121.4944,38.58157
Salt Lake City,1996,833.055833055833,11.1000111000111,84.3600843600844,328.005328005328,409.59040959041,180180,-111.89105,40.76078
San Antonio,1996,464.131840462389,11.4540023906559,62.3606796824598,230.059022376422,160.258136012852,1021477,-98.49363,29.42412
San Diego,1996,868.564933530989,6.76159142185141,31.4970334587509,256.598114971019,573.708193679367,1168364,-117.15726,32.71533
San Francisco,1996,1326.75369433667,11.0048354173181,39.9931823702537,743.363211908842,532.392464640256,745127,-122.41942,37.77493
San Jose,1996,731.598050998707,4.81710650863346,41.0658329861002,132.229573661988,553.485537841985,830374,-121.89496,37.33939
Seattle,1996,841.93398333182,6.85704542885259,48.3699691062305,363.79405883345,422.912909963287,539591,-122.33207,47.60621
St. Louis,1996,2727.77583206119,44.380161533094,71.9172497132667,1092.39361460375,1519.08480621108,374041,-90.44341,38.64068
Hauppauge,1996,169.753922481231,3.2013554046267,3.11926936861063,77.6533900712014,85.7799076367923,1218234,-73.20261,40.82565
Tampa,1996,2948.7222995215,14.5925951063902,89.591746699698,906.437709980656,1938.10024773475,294670,-82.45843,27.94752
Tucson,1996,1100.58532764588,9.73781978682642,59.6970691279359,272.65895403114,758.49148469998,472385,-110.92648,32.22174
Tulsa,1996,1165.88291670836,8.16223360839183,80.042548933907,228.542541034971,849.135593131085,379798,-95.99278,36.15398
Virginia Beach,1996,244.40094486542,4.54699432307759,28.8734139515427,103.444120850015,107.536415740785,439851,-75.97798,36.85293
Washington,1996,2469.79742173112,73.1123388581952,47.8821362799263,1186.74033149171,1162.06261510129,543e3,-120.50147,47.50012
Wichita,1996,758.539970451478,7.67494067910433,72.5921472565285,263.186507454286,415.086375061559,312706,-97.33754,37.69224
Albuquerque,1997,1317.08686462797,11.368197351906,62.6410874492781,401.13496370297,841.942616123816,431027,-106.65114,35.08449
Arlington,1997,797.398241110822,3.95404086501234,41.8469324880473,173.648294655125,577.948973102637,303487,-97.10807,32.73569
Atlanta,1997,3048.48348045098,35.6408824682499,86.9637532225298,1128.86555071104,1797.01329404916,420865,-84.38798,33.749
Aurora,1997,621.050541827267,6.36782823345207,83.530923297636,187.663643821146,343.488146475032,266967,-104.83192,39.72943
Austin,1997,645.706973159314,7.32301642369508,51.8103411976427,235.068827200612,351.504788337364,546223,-97.74306,30.26715
Baltimore,1997,2420.27718677519,43.358204080952,66.7049293553108,1199.16007376453,1111.05397957439,719587,-76.61632,39.44307
Baltimore,1997,1007.52676890114,3.17526934567363,35.0660179913522,341.962703010155,627.322778553955,724348,-76.61632,39.44307
Boston,1997,1420.83945919456,7.7474127244948,63.0603361296088,491.510277033065,858.521433307389,555024,-71.05977,42.35843
Buffalo,1997,1284.52583295723,14.7241934502946,73.6209672514732,702.600100508625,493.580571746834,312411,-78.87837,42.88645
Charlotte,1997,1630.76840953372,10.4981272408608,61.3873542050338,483.269721799628,1075.6132062882,562005,-80.84313,35.22709
Chicago,1997,2354.06666734156,27.369504948204,92.0150463582289,914.329472437426,1320.35264359771,2765852,-87.65005,41.85003
Cincinnati,1997,NA,NA,NA,NA,NA,360875,-84.45689,39.162
Cleveland,1997,1458.64879667515,15.5046876510197,128.467411965592,772.6167080125,542.059989046039,496624,-1.189,54.525
Columbus,1997,933.517115779823,13.0976177928019,108.523118854645,483.9881622483,327.908216884077,641338,-82.99879,39.96118
Dallas,1997,1383.80021320636,19.3908310130828,69.0276472427445,521.975192725377,773.406542225158,1077829,-96.80667,32.78306
Denver,1997,672.317813283935,13.1230351107755,67.7072536150158,238.306710055098,353.180814503046,525793,-104.9847,39.73915
Detroit,1997,2151.53140946063,45.9168288604402,94.7707683089684,803.593456900839,1207.25035539038,1021412,-83.04575,42.33143
El Paso,1997,791.345303335433,3.91674309755628,36.7194665395901,173.968672583125,576.740421115162,612754,-106.48693,31.75872
Fairfax,1997,104.296343891091,1.83579923240645,8.1463590938036,51.2876410553551,43.0265445095261,871555,-77.27622,38.83469
Fort Worth,1997,902.490060682151,15.484410964637,55.4509311571458,293.366813140824,538.187905419544,477900,-97.32085,32.72541
Fresno,1997,1205.01054573219,15.119329306552,48.3818537809663,452.067946265904,689.441416378769,396843,-119.77237,36.74773
Honolulu,1997,299.452896377483,3.86244251776724,29.1955213842994,137.911918134395,128.483014341022,880272,-157.96138,21.45543
Houston,1997,1174.49496771901,14.1003791558647,43.855509972965,452.211372455409,664.327706134775,1801370,-95.36327,29.76328
Indianapolis,1997,2077.17174496183,31.2157750771135,101.318998767241,727.486283576799,1217.15068754067,378014,-86.15804,39.76838
Jacksonville,1997,1343.25915065939,10.6754727455181,86.2578197837861,337.202599121764,909.12325900832,702545,-81.65565,30.33218
Kansas City,1997,1895.50290884155,22.1204680691043,92.2423518481651,599.685889353419,1181.45419957086,452070,-94.57857,39.09973
Las Vegas,1997,1040.82346015159,16.7874751637354,68.1847450143498,430.610236220472,525.241003753036,869696,-115.13722,36.17497
